Empire,Country,Line,Length_km
3,China,Shanghai maglev train,30.5
3,China,Beijing–Shanghai,1318.0
3,China,Beijing–Guangzhou,2230.0
3,China,Hangzhou–Fuzhou–Shenzhen,1495.0
3,China,Huhanrong PDL,2078.0
3,China,Shanghai–Kunming,2066.0
3,China,Guangzhou–Kunming,1285.0
3,China,Suifenhe–Manzhouli,714.0
3,China,Qingdao–Yinchuan,1762.0
3,China,Beijing–Lanzhou,1526.0
3,China,Beijing–Harbin,1700.0
3,China,Eurasia Continental Bridge,3422.0
3,China,Coastal corridor (north extension),1595.3999999999999
3,China,Coastal corridor (south extension),572.4
3,China,Hohhot–Nanning,1667.82
3,China,Baotou (Yinchuan)–Hainan,2798.4
3,China,Lanzhou (Xining)–Guangzhou,1369.2
3,China,Beijing–Hong Kong (Taipei),2635.2
3,China,Shanghai–Chongqing–Chengdu,2052.0
3,China,Beijing–Kunming,2277.4199999999996
3,China,Xiamen–Chongqing,374.8
3,China,Regional railways,1611.0
3,China,Intercity railways,7210.0
3,China,Class I railways,5056.9
3,Taiwan,Taiwan HSR,351.0
3,Taiwan,Taiwan HSR,56.4
1,United Kingdom,Great Western Main Line,190.2
1,United Kingdom,South Wales Main Line,34.5
1,United Kingdom,East Coast Main Line,552.7
1,United Kingdom,Cross Country Route,56.0
1,United Kingdom,West Coast Main Line,442.0
1,United Kingdom,High Speed 1,74.0
1,United Kingdom,High Speed 1,39.4
1,United Kingdom,Midland Main Line,100.0
1,United Kingdom,High Speed 2,230.0
1,United Kingdom,High Speed 2,153.0
2,United States,Northeast Corridor,80.3
2,United States,Brightline,56.3
2,United States,California HSR,275.198
2,United States,Brightline West,351.0
