Empire,Empire_Rank,Institution,Country,Research Share,Global_Rank
1,1,University of Oxford,United Kingdom,396.54,18
1,2,University of Cambridge,United Kingdom,377.39,26
1,3,University of Toronto (U of T),Canada,352.72,34
1,4,National University of Singapore (NUS),Singapore,250.26,44
1,5,Imperial College London (ICL),United Kingdom,225.11,58
1,6,UCL,United Kingdom,243.91,67
1,7,Nanyang Technological University (NTU),Singapore,175.78,72
1,8,McGill University,Canada,189.47,78
1,9,The University of British Columbia (UBC),Canada,147.72,106
1,10,Monash University,Australia,119.5,109
2,1,Harvard University,United States of America,1206.87,2
2,2,Stanford University,United States of America,488.02,16
2,3,Massachusetts Institute of Technology (MIT),United States of America,495.27,17
2,4,National Institutes of Health (NIH),United States of America,418.04,24
2,5,University of Michigan (U-M),United States of America,406.91,25
2,6,Yale University,United States of America,362.66,31
2,7,University of Pennsylvania (Penn),United States of America,341.1,32
2,8,"University of California, Los Angeles (UCLA)",United States of America,324.55,35
2,9,"University of California, Berkeley (UC Berkeley)",United States of America,318.81,36
2,10,Johns Hopkins University (JHU),United States of America,312.99,38
3,1,Chinese Academy of Sciences (CAS),China,2253.62,1
3,2,University of Science and Technology of China (USTC),China,651.48,3
3,3,Zhejiang University (ZJU),China,598.53,4
3,4,Peking University (PKU),China,622.03,5
3,5,University of Chinese Academy of Sciences (UCAS),China,647.09,6
3,6,Tsinghua University,China,610.86,7
3,7,Nanjing University (NJU),China,618.74,8
3,8,Shanghai Jiao Tong University (SJTU),China,512.47,10
3,9,Sun Yat-sen University (SYSU),China,498.83,11
3,10,Fudan University,China,467.35,12
